GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TuCine,com.upc.TuCine.TuCine.dto.save.TypeUser,TypeUserSaveDto,75,0,14,0,2,0,14,0,7,0
TuCine,com.upc.TuCine.TuCine.controller,CategoryController,36,6,0,0,4,3,4,1,4,1
TuCine,com.upc.TuCine.TuCine.controller,PromotionController,54,6,4,0,10,3,6,1,4,1
TuCine,com.upc.TuCine.TuCine.controller,BusinessTypeController,35,6,2,0,6,3,4,1,3,1
TuCine,com.upc.TuCine.TuCine.controller,TicketController,56,6,4,0,11,3,6,1,4,1
TuCine,com.upc.TuCine.TuCine.controller,ActorController,36,6,0,0,4,3,4,1,4,1
TuCine,com.upc.TuCine.TuCine.controller,FilmController,142,6,12,0,32,3,17,1,11,1
TuCine,com.upc.TuCine.TuCine.controller,BusinessController,79,6,6,0,15,3,9,1,6,1
TuCine,com.upc.TuCine.TuCine.controller,ShowtimeController,91,6,8,0,19,3,10,1,6,1
TuCine,com.upc.TuCine.TuCine.controller,AvailableFilmController,56,6,4,0,11,3,6,1,4,1
TuCine,com.upc.TuCine.TuCine.controller,ContentRatingController,45,6,0,0,5,3,5,1,5,1
TuCine,com.upc.TuCine.TuCine.shared.exception,ControllerExceptionHandler,42,3,0,0,18,1,3,1,3,1
TuCine,com.upc.TuCine.TuCine.shared.exception,ErrorMessage,194,0,32,0,7,0,30,0,14,0
TuCine,com.upc.TuCine.TuCine.shared.exception,ValidationException,3,4,0,0,2,2,1,1,1,1
TuCine,com.upc.TuCine.TuCine.shared.exception,ResourceNotFoundException,22,0,0,0,6,0,3,0,3,0
TuCine,com.upc.TuCine.TuCine.dto.save.BusinessType,BusinessTypeDtoSave,75,0,14,0,2,0,14,0,7,0
TuCine,com.upc.TuCine.TuCine.dto.save.Showtime,ShowtimeSaveDto,280,0,54,0,7,0,44,0,17,0
TuCine,com.upc.TuCine.TuCine.dto.save.Showtime,ShowtimeBusinessSaveDto,75,0,14,0,2,0,14,0,7,0
TuCine,com.upc.TuCine.TuCine.dto.save.Showtime,ShowtimeFilmSaveDto,75,0,14,0,2,0,14,0,7,0
TuCine,com.upc.TuCine.TuCine.dto.save.Showtime,ShowtimePromotionSaveDto,75,0,14,0,2,0,14,0,7,0
TuCine,com.upc.TuCine.TuCine.dto.save.Film,FilmSaveDto,316,0,62,0,8,0,50,0,19,0
TuCine,com.upc.TuCine.TuCine.dto.save.Film,FilmContentRatingSaveDto,75,0,14,0,2,0,14,0,7,0
TuCine,com.upc.TuCine.TuCine.user.mapping,GenderMapper.new AbstractConverter() {...},7,6,2,0,1,1,2,1,1,1
TuCine,com.upc.TuCine.TuCine.user.mapping,TypeUserMapper,48,9,0,0,7,2,4,1,4,1
TuCine,com.upc.TuCine.TuCine.user.mapping,GenderMapper,48,9,0,0,7,2,4,1,4,1
TuCine,com.upc.TuCine.TuCine.user.mapping,UserMapper.new AbstractConverter() {...},8,6,2,0,1,1,2,1,1,1
TuCine,com.upc.TuCine.TuCine.user.mapping,UserMapper.new AbstractConverter() {...},8,6,2,0,1,1,2,1,1,1
TuCine,com.upc.TuCine.TuCine.user.mapping,TypeUserMapper.new AbstractConverter() {...},7,6,2,0,1,1,2,1,1,1
TuCine,com.upc.TuCine.TuCine.user.mapping,UserMapper,38,15,0,0,5,3,4,1,4,1
TuCine,com.upc.TuCine.TuCine.dto.save.Category,CategorySaveDto,75,0,14,0,2,0,14,0,7,0
TuCine,com.upc.TuCine.TuCine.model,ContentRating,168,3,30,0,6,1,27,1,12,1
TuCine,com.upc.TuCine.TuCine.model,Film.FilmBuilder,102,0,0,0,1,0,13,0,13,0
TuCine,com.upc.TuCine.TuCine.model,Promotion,386,3,70,0,11,1,57,1,22,1
TuCine,com.upc.TuCine.TuCine.model,Showtime.ShowtimeBuilder,66,0,0,0,1,0,9,0,9,0
TuCine,com.upc.TuCine.TuCine.model,Ticket.TicketBuilder,75,0,0,0,1,0,10,0,10,0
TuCine,com.upc.TuCine.TuCine.model,Actor.ActorBuilder,74,0,0,0,1,0,10,0,10,0
